Date,Rt
2022-03-21,0.39
2021-04-24,0.51
2022-04-28,0.57
2021-04-22,0.61
2021-05-11,0.62
2022-02-25,3.03
2022-01-21,4.85
2021-05-13,null
2021-05-14,null
2021-05-15,null
2021-05-16,null
2021-05-17,null
2021-05-18,null
2021-05-19,null
2021-05-20,null
2021-05-21,null
2021-05-22,null
2021-05-23,null
2021-05-24,null
2021-05-25,null
2021-05-26,null
2021-05-27,null
2021-05-28,null
2021-05-29,null
2021-05-30,null
2021-05-31,null
2021-06-01,null
2021-06-02,null
2021-06-03,null
2021-06-04,null
2021-06-05,null
2021-06-06,null
2021-06-07,null
2021-06-08,null
2021-06-09,null
2021-06-10,null
2021-06-11,null
2021-06-12,null
2021-06-13,null
2021-06-14,null
2021-06-15,null
2021-06-16,null
2021-06-17,null
2021-06-18,null
2021-06-19,null
2021-06-20,null
2021-06-21,null
2021-06-22,null
2021-06-23,null
2021-06-24,null
2021-06-25,null
2021-06-26,null
2021-06-27,null
2021-06-28,null
2021-06-29,null
2021-06-30,null
2021-07-01,null
2021-07-02,null
2021-07-03,null
2021-07-04,null
2021-07-05,null
2021-07-06,null
2021-07-07,null
2021-07-08,null
2021-07-09,null
2021-07-10,null
2021-07-11,null
2021-07-12,null
2021-07-13,null
2021-07-14,null
2021-07-15,null
2021-07-16,null
2021-07-17,null
2021-07-18,null
2021-07-19,null
2021-07-20,null
2021-07-21,null
2021-07-22,null
2021-07-23,null
2021-07-24,null
2021-07-25,null
2021-07-26,null
2021-07-27,null
2021-07-28,null
2021-07-29,null
2021-07-30,null
2021-07-31,null
2021-08-01,null
2021-08-02,null
2021-08-03,null
2021-08-04,null
2021-08-05,null
2021-08-06,null
2021-08-07,null
2021-08-08,null
2021-08-09,null
2021-08-10,null
2021-08-11,null
2021-08-12,null
2021-08-13,null
2021-08-14,null
2021-08-15,null
2021-08-16,null
2021-08-17,null
2021-08-18,null
2021-08-19,null
2021-08-20,null
2021-08-21,null
2021-08-22,null
2021-08-23,null
2021-08-24,null
2021-08-25,null
2021-08-26,null
2021-08-27,null
2021-08-28,null
2021-08-29,null
2021-08-30,null
2021-08-31,null
2021-09-01,null
2021-09-02,null
2021-09-03,null
2021-09-04,null
2021-09-05,null
2021-09-06,null
2021-09-07,null
2021-09-08,null
2021-09-09,null
2021-09-10,null
2021-09-11,null
2021-09-12,null
2021-09-13,null
2021-09-14,null
2021-09-15,null
2021-09-16,null
2021-09-17,null
2021-09-18,null
2021-09-19,null
2021-09-20,null
2021-09-21,null
2021-09-22,null
2021-09-23,null
2021-09-24,null
2021-09-25,null
2021-09-26,null
2021-09-27,null
2021-09-28,null
2021-09-29,null
2021-09-30,null
2021-10-01,null
2021-10-02,null
2021-10-03,null
2021-10-04,null
2021-10-05,null
2021-10-06,null
2021-10-07,null
2021-10-08,null
2021-10-09,null
2021-10-10,null
2021-10-11,null
2021-10-12,null
2021-10-13,null
2021-10-14,null
2021-10-15,null
2021-10-16,null
2021-10-17,null
2021-10-18,null
2021-10-19,null
2021-10-20,null
2021-10-21,null
2021-10-22,null
2021-10-23,null
2021-10-24,null
2021-10-25,null
2021-10-26,null
2021-10-27,null
2021-10-28,null
2021-10-29,null
2021-10-30,null
2021-10-31,null
2021-11-01,null
2021-11-02,null
2021-11-03,null
2021-11-04,null
2021-11-05,null
2021-11-06,null
2021-11-07,null
2021-11-08,null
2021-11-09,null
2021-11-10,null
