Date,Confirmed_case_past14,Confirmed_case_next14,Rt,World_case_14,North_past14,Tai_Po_past14,Eastern_past14,Islands_past14,Sha_Tin_past14,Sai_Kung_past14,Southern_past14,Tuen_Mun_past14,Wan_Chai_past14,Kwun_Tong_past14,Tsuen_Wan_past14,Yuen_Long_past14,Kwai_Tsing_past14,Kowloon_City_past14,Sham_Shui_Po_past14,Wong_Tai_Sin_past14,Yau_Tsim_Mong_past14,Central_Western_past14,North_next14,Tai_Po_next14,Eastern_next14,Islands_next14,Sha_Tin_next14,Sai_Kung_next14,Southern_next14,Tuen_Mun_next14,Wan_Chai_next14,Kwun_Tong_next14,Tsuen_Wan_next14,Yuen_Long_next14,Kwai_Tsing_next14,Kowloon_City_next14,Sham_Shui_Po_next14,Wong_Tai_Sin_next14,Yau_Tsim_Mong_next14,Central_Western_next14,Measure_1_4,Measure_5_1,Measure_5_3,Measure_5_5,Measure_5_7,Measure_6_2,Measure_7_2,Measure_8_1,Measure_3_1_1,Measure_3_1_2,Measure_3_1_3,Measure_3_2_1,Measure_4_1_1,Measure_4_1_2,Measure_4_2_1,Measure_4_2_2,Measure_4_3_2,Measure_4_3_3,Measure_4_3_4,Measure_4_4_1,Measure_4_4_2,Measure_4_5_1,Measure_4_5_2,Measure_4_5_3,Measure_1_6,Measure_5_8,Measure_5_9,Measure_3_2_2,location,vaccine,source_url,total_vaccinations,people_vaccinated,total_boosters
2021-09-24,36,82,null,7397016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,false,true,true,false,true,true,true,true,true,true,true,true,true,Hong Kong,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,8511644,4441260,4070076
2021-12-08,60,71,null,8274927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,4,0,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,false,true,true,false,true,true,true,true,true,true,true,true,true,Hong Kong,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,9579382,4791743,4561188
2021-09-12,47,43,null,8394114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,false,true,true,false,true,true,true,true,true,true,true,true,true,Hong Kong,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,8152010,4340225,3811567
2021-09-05,66,44,null,8974131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,false,true,true,false,true,true,true,true,true,true,true,true,true,Hong Kong,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,7842525,4244759,3597545
2021-05-21,30,21,null,9476768,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,1,8,0,9,10,1,0,2,2,11,2,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,true,true,true,true,false,true,true,true,true,true,true,true,Hong Kong,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,2081179,1227137,854040
2021-12-05,53,66,null,8113502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,false,true,true,false,true,true,true,true,true,true,true,true,true,Hong Kong,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,9540511,4780185,4552584
2021-08-06,31,45,null,8219209,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,Hong Kong,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,6060094,3434112,2625944
2021-10-26,59,41,null,5765587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,7,2,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,false,true,true,false,true,true,true,true,true,true,true,true,true,Hong Kong,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,8999997,4597357,4402047
2021-06-06,21,34,null,6777760,0,6,0,0,0,0,0,1,8,0,9,10,1,0,2,2,11,2,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,Hong Kong,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,2637605,1528145,1109455
2021-06-26,35,40,null,5305995,0,7,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,1,5,1,0,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,Hong Kong,"Pfizer/BioNTech, Sinovac",https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age,3511296,2122644,1388644
